week,date,time,strategy,symbol,kind,reason,ret
week4,2026-08-06,13:49:26,午後引け戻り,7794,ENTRY,,
week4,2026-08-06,13:49:26,複合シグナル,7794,ENTRY,,
week4,2026-08-06,13:53:15,複合シグナル,9235,EXIT,利確,1.01
week4,2026-08-06,14:01:15,午後引け戻り,5707,ENTRY,,
week4,2026-08-06,14:23:33,投げ売り反発,5817,ENTRY,,
week4,2026-08-06,14:24:17,午後引け戻り,5817,ENTRY,,
week4,2026-08-06,15:30:00,午後引け戻り,5132,EXIT,大引け,1.13
week4,2026-08-06,15:30:00,午後引け戻り,5707,EXIT,大引け,0.85
week4,2026-08-06,15:30:00,午後引け戻り,7794,EXIT,大引け,0.11
week4,2026-08-06,15:30:00,複合シグナル,7794,EXIT,大引け,0.11
week4,2026-08-06,15:30:00,午後引け戻り,4395,EXIT,大引け,0.29
week4,2026-08-06,15:30:00,午後引け戻り,3444,EXIT,大引け,0.31
week4,2026-08-06,15:30:01,午後引け戻り,5817,EXIT,大引け,1.0
week4,2026-08-06,15:30:01,投げ売り反発,5817,EXIT,大引け,1.1
week4,2026-08-06,15:30:01,午後引け戻り,9130,EXIT,大引け,-0.35
week4,2026-08-07,13:19:30,午後引け戻り,6433,ENTRY,,
week4,2026-08-07,13:24:33,午後引け戻り,6433,EXIT,利確,2.32
week4,2026-08-07,14:02:50,午後引け戻り,6620,ENTRY,,
week4,2026-08-07,14:20:07,午後引け戻り,6620,EXIT,利確,2.15
week4,2026-08-07,14:24:54,午後引け戻り,5026,ENTRY,,
week4,2026-08-07,14:47:01,複合シグナル,5026,ENTRY,,
week4,2026-08-07,15:30:00,午後引け戻り,5026,EXIT,大引け,-0.36
week4,2026-08-07,15:30:00,複合シグナル,5026,EXIT,大引け,-0.18
week5,2026-08-10,13:14:17,午後引け戻り,4570,ENTRY,,
week5,2026-08-10,13:59:53,午後引け戻り,3444,ENTRY,,
week5,2026-08-10,15:30:00,午後引け戻り,3444,EXIT,大引け,0.3
week5,2026-08-10,15:30:00,午後引け戻り,4570,EXIT,大引け,0.0
week5,2026-08-12,09:09:19,投げ売り反発,4263,ENTRY,,
week5,2026-08-12,09:17:43,投げ売り反発,4263,EXIT,利確,2.11
week5,2026-08-13,09:18:44,投げ売り反発,4570,ENTRY,,
week5,2026-08-13,09:47:27,投げ売り反発,4570,EXIT,利確,2.02
week5,2026-08-13,13:17:11,午後引け戻り,4811,ENTRY,,
week5,2026-08-13,14:17:22,午後引け戻り,5729,ENTRY,,
week5,2026-08-13,14:17:23,午後引け戻り,5817,ENTRY,,
week5,2026-08-13,14:17:31,午後引け戻り,4011,ENTRY,,
week5,2026-08-13,14:17:33,午後引け戻り,5026,ENTRY,,
week5,2026-08-13,14:17:37,複合シグナル,2998,ENTRY,,
week5,2026-08-13,14:17:39,午後引け戻り,6217,ENTRY,,
week5,2026-08-13,14:17:43,午後引け戻り,4013,ENTRY,,
week5,2026-08-13,14:18:29,午後引け戻り,4579,ENTRY,,
week5,2026-08-13,14:19:11,午後引け戻り,9556,ENTRY,,
week5,2026-08-13,14:20:26,午後引け戻り,4412,ENTRY,,
week5,2026-08-13,14:22:14,午後引け戻り,4446,ENTRY,,
week5,2026-08-13,15:22:44,複合シグナル,2998,EXIT,利確,1.01
week5,2026-08-13,15:25:00,午後引け戻り,4811,EXIT,利確,2.33
week5,2026-08-13,15:30:00,午後引け戻り,4013,EXIT,大引け,-0.3
week5,2026-08-13,15:30:00,午後引け戻り,4579,EXIT,大引け,0.0
week5,2026-08-13,15:30:00,午後引け戻り,9556,EXIT,大引け,0.05
week5,2026-08-13,15:30:00,午後引け戻り,4011,EXIT,大引け,0.05
week5,2026-08-13,15:30:00,午後引け戻り,5026,EXIT,大引け,0.0
week5,2026-08-13,15:30:00,午後引け戻り,6217,EXIT,大引け,0.12
week5,2026-08-13,15:30:01,午後引け戻り,4412,EXIT,大引け,0.43
week5,2026-08-13,15:30:01,午後引け戻り,4446,EXIT,大引け,0.12
week5,2026-08-13,15:30:02,午後引け戻り,5817,EXIT,大引け,0.2
week5,2026-08-13,15:30:02,午後引け戻り,5729,EXIT,大引け,0.52
week5,2026-08-14,13:30:42,午後引け戻り,4579,ENTRY,,
week5,2026-08-14,13:48:32,午後引け戻り,9145,ENTRY,,
week5,2026-08-14,14:00:21,午後引け戻り,9145,EXIT,損切り,-2.12
week5,2026-08-14,15:30:00,午後引け戻り,4579,EXIT,大引け,0.39
