,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,4889,レナサイエンス,Growth,バイオ・医療,1302,179.4,-58.9,-40.4,1.67,454547,8.57,-16.16,✅,1,1機関が2回以上連続買戻し (Nomura International×6連続),100
1,5707,東邦亜鉛,Prime,内需・ディフェンシブ,1145,436.4,-54.4,-39.7,2.24,453365,6.79,35.82,,0,,100
2,7409,ＡｅｒｏＥｄｇｅ,Growth,内需・ディフェンシブ,1366,324.7,-51.9,-51.9,1.89,264948,8.43,-6.5,,0,,98.9
3,4263,サスメド,Growth,DX・SaaS,576,97.1,-53.2,-53.2,1.46,116465,6.06,-19.33,✅,1,1機関が2回以上連続買戻し (JPモルガン証券×3連続),98.7
4,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,4780,378.1,-65.3,-49,1.04,121008,5.21,-5.91,✅,2,"2機関が2回以上連続買戻し (Barclays Capital Securiti×2連続, モルガン・スタンレーMUFG×2連続)",96.8
5,6217,津田駒工業,Standard,ロボット・FA,797,50.9,-70.6,-70.6,0.9,256882,7.68,-2.8,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×11連続),96
6,6433,ヒーハイスト,Standard,ロボット・FA,1035,64.6,-60.9,-56.5,0.8,178742,7.27,2.37,✅,1,1機関が2回以上連続買戻し (JPモルガン証券×4連続),96
7,9337,トリドリ,Growth,サービス,1467,48.5,-59.1,-28.3,2.66,29330,5.88,-4.12,,0,,95.4
8,7694,いつも,Growth,内需・ディフェンシブ,508,30.2,-51.6,-31.7,1.53,24923,7.93,19.81,,0,,95.3
9,3747,インタートレード,Standard,DX・SaaS,448,32.2,-68.9,-35,1.03,51118,3.84,7.95,✅,2,"2機関が2回以上連続買戻し (大和証券×16連続, Barclays Capital Securiti×2連続)",94
10,6580,ライトアップ,Growth,サービス,895,44.5,-73.8,-54.2,1.28,36882,4.41,11.74,✅,2,"2機関が2回以上連続買戻し (Barclays Capital Securiti×5連続, Barclays Bank×3連続)",92.6
11,9556,ＩＮＴＬＯＯＰ,Growth,サービス,2242,211.1,-54,-30.2,0.72,54863,3.85,22.71,✅,3,"3機関が2回以上連続買戻し (モルガン・スタンレーMUFG×5連続, GOLDMAN SACHS×3連続, Nomura International×2連続)",91.8
