,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,3791,ＩＧポート,Standard,DX・SaaS,964,194.9,-54.9,-35.1,2.66,129722,6.96,-25.73,,0,,100
1,4418,ＪＤＳＣ,Growth,DX・SaaS,792,124.9,-59.3,-34.5,2.44,221365,7.81,21.29,✅,1,1機関が2回以上連続買戻し (Nomura International×4連続),100
2,4412,サイエンスアーツ,Growth,DX・SaaS,1139,92.4,-57.1,-54.9,2.32,47715,7.95,3.92,,0,,100
3,5026,トリプルアイズ,Growth,DX・SaaS,587,49.2,-61.5,-35.8,3.18,48125,7.18,9.11,,0,,100
4,5574,ＡＢＥＪＡ,Growth,DX・SaaS,2287,227.2,-50.6,-31.4,1.9,120645,6.15,6.37,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×3連続, Nomura International×2連続)",100
5,6047,Ｇｕｎｏｓｙ,Standard,サービス,353,84.5,-54.8,-38.8,2.28,189722,5.36,-19.41,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),100
6,4813,ＡＣＣＥＳＳ,Prime,DX・SaaS,335,126,-61.5,-51.5,2.36,430307,4.8,-1.18,,0,,99.2
7,5707,東邦亜鉛,Prime,内需・ディフェンシブ,810,308.8,-67.7,-61.2,0.88,373817,5.82,2.92,✅,2,"2機関が2回以上連続買戻し (Barclays Capital Securiti×2連続, 大和証券×2連続)",97.6
8,7794,イーディーピー,Growth,ゲーム・エンタメ,919,146.6,-70.4,-70.4,0.71,493267,5.7,-12.48,✅,2,"2機関が2回以上連続買戻し (Barclays Capital Securiti×2連続, モルガン・スタンレーMUFG×2連続)",97.4
9,6217,津田駒工業,Standard,ロボット・FA,755,48.2,-72.1,-72.1,0.78,390727,10.72,-36.34,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続),96
10,7373,アイドマ・ホールディングス,Growth,サービス,994,147.7,-69.5,-57.7,1.88,126370,4.72,-13.49,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),95.3
11,1514,住石ホールディングス,Standard,内需・ディフェンシブ,593,354.8,-61.1,-61.1,0.7,436697,3.88,12.74,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×3連続, GOLDMAN SACHS×2連続)",93.8
12,4575,キャンバス,Growth,バイオ・医療,714,140.7,-54.2,-28,1.63,218365,6.88,26.6,,0,,93.4
13,6620,宮越ホールディングス,Prime,内需・ディフェンシブ,661,264.5,-63.8,-37,0.59,194432,5.66,-12.68,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),93.3
14,4894,クオリプス,Growth,バイオ・医療,4190,346,-66.2,-66.2,1.33,138097,8.45,7.44,,0,,93.3
15,4165,プレイド,Growth,AI・データ,542,222.6,-56.2,-37.4,0.77,476210,5.48,20.18,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×9連続),93
16,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,5000,395.5,-63.7,-51.8,0.58,144917,5.23,6.84,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×9連続),92.5
17,5724,アサカ理研,Standard,内需・ディフェンシブ,2335,117.6,-57.5,-50.8,0.72,54772,5.12,-4.5,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),92.2
18,5817,ＪＭＡＣＳ,Standard,内需・ディフェンシブ,914,51.4,-64.5,-64.5,1.15,212342,7.74,-9.15,,0,,91.5
19,3267,フィル・カンパニー,Standard,内需・ディフェンシブ,596,32,-53.2,-53.2,1.54,43457,4.91,-10.78,,0,,91.2
20,9256,サクシード,Growth,サービス,2120,75.9,-61.8,-61.8,1.01,179367,28.86,-54.99,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),91.1
21,2998,クリアル,Growth,内需・ディフェンシブ,495,176.5,-67.8,-52.9,0.52,201983,4.46,1.43,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×6連続),90.9
22,4570,免疫生物研究所,Growth,バイオ・医療,967,90.1,-74.6,-52,0.76,115503,4.23,-2.22,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),90.5
23,9227,マイクロ波化学,Growth,サービス,790,125.6,-51.2,-49.3,0.31,460143,4.61,-11.93,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続, Barclays Capital Securiti×2連続)",90.2
