,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,3747,インタートレード,Standard,DX・SaaS,426,30.5,-70.4,-38.2,1.81,50705,5.33,10.36,✅,3,"3機関が2回以上連続買戻し (大和証券×19連続, JPモルガン証券×8連続, Barclays Capital Securiti×6連続)",100
1,4425,Ｋｕｄａｎ,Growth,DX・SaaS,1477,174.8,-53,-53,1.46,205843,6.13,-3.4,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),98.9
2,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,5610,451.6,-59.2,-35.9,1.15,119135,5.25,17.12,✅,2,"2機関が2回以上連続買戻し (Nomura International×2連続, GOLDMAN SACHS×2連続)",98
3,6217,津田駒工業,Standard,ロボット・FA,838,53.5,-69.1,-69.1,0.94,250835,7.35,31.97,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),96
4,7794,イーディーピー,Growth,ゲーム・エンタメ,1011,162.5,-67.4,-39.7,1.24,395802,5.3,19.79,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),95
5,4263,サスメド,Growth,DX・SaaS,470,76.6,-61.8,-61.8,1.13,117253,7.99,-31.69,,0,,91.3
6,3134,Ｈａｍｅｅ,Standard,内需・ディフェンシブ,323,50.9,-77.3,-36.8,0.52,87415,2.59,11,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×11連続, Barclays Capital Securiti×2連続)",91.2
7,4570,免疫生物研究所,Growth,バイオ・医療,1088,103.4,-71.4,-36,1.46,112798,5.21,19.43,,0,,91
8,4889,レナサイエンス,Growth,バイオ・医療,1290,185.3,-54.6,-41,1.07,465140,9.05,-9.92,,0,,90.7
9,1514,住石ホールディングス,Standard,内需・ディフェンシブ,682,400.2,-55.3,-42,1.6,382555,4.23,19.65,,0,,90.4
10,6433,ヒーハイスト,Standard,ロボット・FA,1086,74.9,-59,-54.3,0.75,173765,6.35,31.16,,0,,88.7
11,7061,日本ホスピスホールディングス,Growth,サービス,484,40.7,-68.6,-46.9,2,80227,3.78,-14.34,,0,,88.6
12,6580,ライトアップ,Growth,サービス,952,45.5,-72.1,-51,1.55,37820,5.67,20.51,,0,,87.8
13,3963,シンクロ・フード,Prime,DX・SaaS,348,99.8,-51.9,-34.2,1.14,97877,5.11,-0.57,,0,,87.7
14,4579,ラクオリア創薬,Growth,バイオ・医療,572,149.2,-61,-44.5,1.19,165188,4.28,26.27,,0,,86.5
15,4422,ＶＡＬＵＥＮＥＸ,Growth,DX・SaaS,597,50.8,-63.4,-63.4,1.03,162288,4.85,22.59,,0,,86
16,4019,スタメン,Growth,DX・SaaS,641,59.9,-57.5,-13.1,3.13,47015,4.39,2.56,,0,,85.3
17,2998,クリアル,Growth,内需・ディフェンシブ,558,200.8,-63.7,-34.2,1.05,163762,4.15,13.88,,0,,84.8
18,4888,ステラファーマ,Growth,バイオ・医療,355,129.7,-64.3,-64.3,0.77,338467,4.35,18.73,,0,,84.7
19,5817,ＪＭＡＣＳ,Standard,内需・ディフェンシブ,1034,58.3,-59.9,-59.9,0.29,167593,4.16,15.53,,0,,84.3
20,4894,クオリプス,Growth,バイオ・医療,5840,495.5,-52.9,-27.7,0.9,132532,5.52,37.9,,0,,84.2
21,5597,ブルーイノベーション,Growth,DX・SaaS,1425,59.3,-53.2,-53.2,0.91,54098,3.99,25.66,,0,,84
22,9256,サクシード,Growth,サービス,1218,42.8,-78.1,-78.1,0.26,250263,6.19,-15.77,,0,,83.4
23,6228,ジェイ・イー・ティ,Standard,ロボット・FA,492,64.6,-58.9,-43.7,0.43,92555,3.69,1.86,,0,,83.4
24,4075,ブレインズテクノロジー,Growth,DX・SaaS,906,54.7,-56.9,-56.9,0.44,24253,3.64,7.6,,0,,83.3
25,5729,日本精鉱,Standard,内需・ディフェンシブ,1898,183.5,-53.5,-43.3,0.65,29742,3.48,27.55,,0,,83
