,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,4889,レナサイエンス,Growth,バイオ・医療,1267,174.6,-61.7,-42,0.74,462798,7.65,-15.48,✅,3,"3機関が2回以上連続買戻し (Merrill Lynch internation×7連続, Barclays Capital Securiti×2連続, Nomura International×2連続)",100
1,6433,ヒーハイスト,Standard,ロボット・FA,960,59.9,-63.8,-63.8,0.65,222058,7.65,-9.52,✅,2,"2機関が2回以上連続買戻し (JPモルガン証券×4連続, GOLDMAN SACHS×2連続)",100
2,5707,東邦亜鉛,Prime,内需・ディフェンシブ,1005,383.1,-60,-47.1,1.28,357048,5.47,20.94,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×4連続, Barclays Capital Securiti×4連続)",99.7
3,4894,クオリプス,Growth,バイオ・医療,5400,445.9,-56.5,-56.5,0.75,142542,6.62,12.38,✅,2,"2機関が2回以上連続買戻し (Nomura International×7連続, Barclays Capital Securiti×5連続)",99.2
4,6217,津田駒工業,Standard,ロボット・FA,805,51.4,-70.3,-70.3,0.4,258787,7.73,-4.05,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×7連続),96
5,7794,イーディーピー,Growth,ゲーム・エンタメ,911,145.3,-70.6,-70.6,0.76,467285,4.87,-14.7,✅,2,"2機関が2回以上連続買戻し (JPモルガン証券×5連続, Nomura International×2連続)",95.7
6,4418,ＪＤＳＣ,Growth,DX・SaaS,785,123.8,-59.7,-30.1,0.67,231717,5.31,2.08,✅,2,"2機関が2回以上連続買戻し (Nomura International×12連続, GOLDMAN SACHS×2連続)",95.7
7,5597,ブルーイノベーション,Growth,DX・SaaS,1279,51.6,-58.3,-58,0.61,78595,4.81,-8.97,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続, Barclays Capital Securiti×2連続)",95.6
8,5724,アサカ理研,Standard,内需・ディフェンシブ,2740,138,-50.1,-37.9,1.31,56627,5.17,10.44,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),95.5
9,9256,サクシード,Growth,サービス,1260,45.1,-77.3,-77.3,1.42,247110,27.71,-71.97,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),95.2
