,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,4165,プレイド,Growth,AI・データ,556,228.4,-55.1,-36.7,1.04,491847,5.1,12.32,✅,3,"3機関が2回以上連続買戻し (大和証券×6連続, GOLDMAN SACHS×5連続, JPモルガン証券×4連続)",100
1,4395,アクリート,Growth,DX・SaaS,788,59.1,-52.2,-43.7,1.93,121635,8.47,15.6,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続),100
2,4446,Ｌｉｎｋ－Ｕグループ,Prime,DX・SaaS,845,119.8,-53.4,-38.5,2.89,282410,12.09,34.13,,0,,100
3,6620,宮越ホールディングス,Prime,内需・ディフェンシブ,746,298.5,-59.1,-29,2.51,187445,11.37,24.13,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×13連続),100
4,9229,サンウェルズ,Prime,サービス,155,50.3,-84.2,-64.9,2.87,418240,13.55,4.73,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続),100
5,4813,ＡＣＣＥＳＳ,Prime,DX・SaaS,345,129.7,-60.3,-50.1,2.36,323287,4.29,-21.95,,0,,98.2
6,7602,レダックス,Standard,内需・ディフェンシブ,159,33,-58.8,-58.8,1.74,166125,7.23,9.66,,0,,97.4
7,8798,アドバンスクリエイト,Prime,内需・ディフェンシブ,132,48.8,-69.9,-52.7,1.63,154738,7.95,9.09,,0,,96.3
8,4575,キャンバス,Growth,バイオ・医療,758,149.3,-51.3,-23.5,2.01,187832,4.99,36.33,✅,1,1機関が2回以上連続買戻し (Nomura International×2連続),95.9
9,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,Growth,サービス,428,189.8,-60.1,-52.6,2.09,302378,11.28,36.31,,0,,95.9
10,2321,ソフトフロントホールディングス,Growth,DX・SaaS,145,75.4,-67.7,-67.7,1.75,234782,6.11,12.4,,0,,95.7
11,5132,ｐｌｕｓｚｅｒｏ,Growth,DX・SaaS,1981,154.3,-55.9,-32.7,0.82,76715,6.62,16.6,✅,1,1機関が2回以上連続買戻し (大和証券×2連続),95.2
12,5129,ＦＩＸＥＲ,Growth,DX・SaaS,264,39.1,-60.3,-49.2,0.58,174505,6.36,6.88,✅,1,1機関が2回以上連続買戻し (大和証券×12連続),94.7
13,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,5340,422.4,-61.2,-48.7,0.83,156920,5.55,13.86,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×7連続),93.1
14,5137,スマートドライブ,Growth,DX・SaaS,227,84.8,-60.2,-45,0.7,428427,5.16,23.37,✅,1,1機関が2回以上連続買戻し (大和証券×4連続),92.3
15,3323,レカム,Standard,内需・ディフェンシブ,75,60.5,-60.6,-45.7,0.62,331675,2.67,8.7,✅,2,"2機関が2回以上連続買戻し (Nomura International×3連続, GOLDMAN SACHS×3連続)",91.3
16,3963,シンクロ・フード,Prime,DX・SaaS,340,95.3,-53,-51.1,0.75,125337,4.08,18.47,✅,1,1機関が2回以上連続買戻し (大和証券×5連続),90.2
17,5817,ＪＭＡＣＳ,Standard,内需・ディフェンシブ,837,47.1,-67.5,-67.5,0.33,321087,8.14,-1.41,,0,,90
18,4894,クオリプス,Growth,バイオ・医療,4805,396.8,-61.3,-61.3,1.19,118180,5.75,25.29,,0,,89.4
19,3747,インタートレード,Standard,DX・SaaS,423,30.4,-70.6,-51.8,0.39,70783,3.56,7.09,✅,1,1機関が2回以上連続買戻し (大和証券×5連続),89.1
20,9130,共栄タンカー,Standard,内需・ディフェンシブ,1494,114.3,-50.2,-50.2,0.32,47605,3.45,13.44,✅,1,1機関が2回以上連続買戻し (大和証券×4連続),88.9
21,5724,アサカ理研,Standard,内需・ディフェンシブ,2481,124.9,-54.8,-54.8,1.08,63660,5.84,8.1,,0,,88.5
22,5892,ｙｕｔｏｒｉ,Growth,内需・ディフェンシブ,2081,113.6,-66.8,-30.5,0.57,68640,3.52,4,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×5連続),88.4
23,7018,内海造船,Standard,内需・ディフェンシブ,10040,170.2,-50.8,-47.2,0.81,27840,5.93,14.74,,0,,87.8
24,4418,ＪＤＳＣ,Growth,DX・SaaS,769,121.3,-60.5,-36.9,1.18,147488,4.92,26.27,,0,,87.6
25,6228,ジェイ・イー・ティ,Standard,ロボット・FA,504,66.2,-57.9,-42.5,0.59,96575,5.56,-35.63,,0,,87.1
26,4176,ココナラ,Growth,DX・SaaS,270,60.5,-51.7,-29.9,0.77,154522,3.02,9.76,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),86.9
27,5707,東邦亜鉛,Prime,内需・ディフェンシブ,831,316.8,-66.9,-66.9,0.94,390132,5.45,-3.26,,0,,86.9
28,9145,ビーイングホールディングス,Standard,EC・物流,518,124.8,-54.9,-44.9,1.35,34447,3.68,-4.58,,0,,86.8
29,2330,フォーサイド,Standard,DX・SaaS,80,34.9,-74.6,-56.8,0.4,337607,5.36,9.59,,0,,86.7
30,3653,モルフォ,Growth,DX・SaaS,635,32.8,-52.5,-26.8,0.45,28630,2.06,3.59,✅,2,"2機関が2回以上連続買戻し (大和証券×5連続, Barclays Capital Securiti×3連続)",86.6
31,5597,ブルーイノベーション,Growth,DX・SaaS,1405,56.7,-54.2,-53.9,0.2,235703,5.16,-2.77,,0,,86.3
32,5031,モイ,Growth,DX・SaaS,350,48.9,-62.4,-62.4,0.11,417890,4.88,-7.16,,0,,85.8
33,4412,サイエンスアーツ,Growth,DX・SaaS,1200,97.4,-54.8,-54.8,0.74,40857,4.85,8.11,,0,,85.7
34,2998,クリアル,Growth,内需・ディフェンシブ,540,192.5,-64.9,-48.6,0.82,195348,4.75,24.42,,0,,85.5
35,9327,イー・ロジット,Standard,EC・物流,198,31.4,-56.5,-36.1,0.47,28042,4.51,3.12,,0,,85
36,4840,トライアイズ,Standard,サービス,646,55.8,-51.8,-51.8,0.35,165527,7.19,-10.03,,0,,85
37,4075,ブレインズテクノロジー,Growth,DX・SaaS,891,52,-57.6,-57.6,0.36,43770,4.42,-11.78,,0,,84.8
38,3686,ディー・エル・イー,Standard,DX・SaaS,74,32.2,-66.4,-44.8,0.65,185337,4.34,-5.13,,0,,84.7
39,6495,宮入バルブ製作所,Standard,ロボット・FA,137,66,-59.3,-59.3,0.53,271813,4.28,-3.52,,0,,84.6
40,5588,ファーストアカウンティング,Growth,DX・SaaS,762,84.3,-58.8,-31.9,0.42,44217,4.26,9.64,,0,,84.5
41,3807,フィスコ,Growth,DX・SaaS,90,41.2,-57.1,-31.8,1.08,151850,3.81,-2.17,,0,,84.4
42,4570,免疫生物研究所,Growth,バイオ・医療,1000,93.1,-73.7,-50.4,0.69,118107,4.14,9.05,,0,,84.3
43,5599,Ｓ＆Ｊ,Growth,DX・SaaS,1101,61.3,-55.8,-55.8,0.67,46875,4.05,17,,0,,84.1
44,4488,ＡＩ　ｉｎｓｉｄｅ,Growth,DX・SaaS,2101,83.1,-50.5,-26.4,0.35,22220,2.92,6.87,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),84
45,5591,ＡＶＩＬＥＮ,Growth,DX・SaaS,844,51.5,-50.6,-39.4,0.66,47285,3.97,19.55,,0,,83.9
46,9115,明海グループ,Standard,内需・ディフェンシブ,809,275.5,-53.9,-53.9,0.38,51958,3.86,-4.6,,0,,83.7
47,4011,ヘッドウォータース,Growth,DX・SaaS,2117,129.3,-53.3,-42.6,0.62,42833,3.83,10.09,,0,,83.7
48,7071,アンビスホールディングス,Prime,サービス,375,367.9,-55.3,-29.4,0.83,471253,3.89,6.84,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),83.3
49,4056,ニューラルグループ,Growth,DX・SaaS,217,37.3,-76.3,-50.9,0.74,51917,3.62,3.83,,0,,83.2
50,4579,ラクオリア創薬,Growth,バイオ・医療,491,127.8,-66.5,-61.9,0.48,221447,3.61,6.97,,0,,83.2
51,5729,日本精鉱,Standard,内需・ディフェンシブ,1530,150,-62.5,-55.9,0.61,38692,3.52,5.59,,0,,83
52,5026,トリプルアイズ,Growth,DX・SaaS,596,50,-60.9,-34.8,0.48,34680,3.44,15.28,,0,,82.9
53,2440,ぐるなび,Standard,サービス,126,71,-52.8,-31.1,0.91,148365,2.95,2.44,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×3連続),82.8
54,5029,サークレイス,Growth,DX・SaaS,703,30.8,-55.8,-38.9,0.44,10202,3.4,10.53,,0,,82.8
55,8518,日本アジア投資,Standard,フィンテック・暗号資産,126,34.6,-60,-42.5,0.45,56343,3.34,-6.67,,0,,82.7
56,3134,Ｈａｍｅｅ,Standard,内需・ディフェンシブ,286,45.8,-79.9,-44,0.44,160988,3.3,-29.38,,0,,82.6
57,4393,バンク・オブ・イノベーション,Growth,DX・SaaS,4990,198.3,-65.5,-26.4,1.12,35063,4.59,1.84,,0,,82.6
58,7115,アルファパーチェス,Standard,内需・ディフェンシブ,1723,169.2,-54.4,-28.9,1.18,10738,3.32,23.25,,0,,82.6
59,4880,セルソース,Standard,バイオ・医療,347,68.9,-52.4,-21.5,1.05,61047,3.83,15.28,✅,1,1機関が2回以上連続買戻し (大和証券×2連続),82.3
60,5535,ミガロホールディングス,Prime,内需・ディフェンシブ,275,176.8,-73.7,-36.9,0.96,265487,3.06,9.13,,0,,82.1
61,9235,売れるネット広告社グループ,Growth,サービス,503,40.8,-73.8,-43.7,0.63,234620,5.31,-6.16,,0,,81.6
62,5994,ファインシンター,Standard,内需・ディフェンシブ,992,42.4,-53.8,-53.8,0.48,24337,2.8,5.64,,0,,81.6
63,1844,大盛工業,Standard,内需・ディフェンシブ,509,95.3,-64.9,-33.6,0.7,123315,2.75,9.94,,0,,81.5
64,2901,ウェルディッシュ,Standard,内需・ディフェンシブ,189,54.1,-74.3,-60.2,0.23,378433,2.65,0.53,,0,,81.3
65,6030,アドベンチャー,Growth,サービス,1437,103.1,-58.5,-31.5,0.93,16107,5.14,22.72,,0,,81.3
66,4013,勤次郎,Growth,DX・SaaS,697,137.3,-54.1,-48.9,0.56,74528,2.58,16.95,,0,,81.2
67,2216,カンロ,Standard,内需・ディフェンシブ,1160,489.3,-51.9,-34.8,0.89,96178,2.57,4.81,,0,,81.1
68,2700,木徳神糧,Standard,内需・ディフェンシブ,1750,143.1,-72.4,-35.6,0.77,26532,2.51,-3.54,,0,,81
69,4576,デ・ウエスタン・セラピテクス研究所,Growth,バイオ・医療,81,45.8,-55.2,-24.3,0.71,292945,5.03,19.12,,0,,80.5
70,9556,ＩＮＴＬＯＯＰ,Growth,サービス,1798,169.3,-63.1,-55.2,0.84,71055,4.52,9.1,,0,,80
71,8165,千趣会,Standard,内需・ディフェンシブ,109,51,-56.6,-48.1,0.9,129838,1.64,-8.4,,0,,80
72,9337,トリドリ,Growth,サービス,1592,52.6,-55.7,-55.7,0.58,25470,4.15,0.25,,0,,79.3
73,9211,エフ・コード,Growth,サービス,1417,173.4,-52.5,-17.9,1.09,129522,3.97,3.05,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×4連続, JPモルガン証券×3連続)",79.1
74,2195,アミタホールディングス,Growth,サービス,330,57.9,-51.1,-51.1,0.09,304247,3.81,-8.08,,0,,78.6
75,3726,フォーシーズＨＤ,Standard,内需・ディフェンシブ,368,48.3,-59.3,-26.5,0.32,46190,3.14,11.85,,0,,78.5
76,7273,イクヨ,Standard,内需・ディフェンシブ,627,183.5,-52.9,-27.4,0.77,98613,2.79,-0.48,,0,,78.5
77,7034,プロレド・パートナーズ,Prime,サービス,343,37.5,-57.4,-44.8,0.6,23923,3.6,-6.79,,0,,78.2
78,7111,ＩＮＥＳＴ,Standard,内需・ディフェンシブ,434,31.6,-65.6,-28.4,0.27,27127,2.06,-4.19,,0,,77.8
79,6580,ライトアップ,Growth,サービス,850,42.3,-75.1,-72.5,0.28,73068,3.27,10.39,,0,,77.5
80,7061,日本ホスピスホールディングス,Growth,サービス,588,49.7,-61.9,-50.3,0.62,91608,2.83,2.98,,0,,76.7
81,2342,トランスジェニックグループ,Standard,サービス,226,37.6,-53.6,-36.2,0.18,231420,2.75,6.6,,0,,76.5
82,7373,アイドマ・ホールディングス,Growth,サービス,1255,186.5,-61.4,-61.4,0.39,148187,2.75,10.67,,0,,76.5
83,6557,ＡＩＡＩグループ,Growth,サービス,664,43,-59.1,-55.2,0.43,58555,2.68,9.39,,0,,76.4
84,4019,スタメン,Growth,DX・SaaS,623,54.7,-58.7,-22.3,0.52,40532,3.63,10.46,,0,,76.1
85,9168,ライズ・コンサルティング・グループ,Growth,サービス,401,96,-68.9,-51.9,0.35,262437,1.98,2.3,,0,,75
86,7351,グッドパッチ,Growth,サービス,460,40.2,-54.2,-28,0.49,13510,1.57,0.44,,0,,72.4
87,7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,Prime,サービス,1149,143.1,-57.2,-26.2,0.67,133077,2.69,17.36,,0,,72.3
