,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,4894,クオリプス,Growth,バイオ・医療,4485,370.3,-63.8,-63.8,1.41,140110,7.37,2.28,✅,1,1機関が2回以上連続買戻し (Nomura International×3連続),100
1,6047,Ｇｕｎｏｓｙ,Standard,サービス,361,86.5,-51.2,-35.5,1.84,194612,5.4,-20.66,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×2連続, モルガン・スタンレーMUFG×2連続)",100
2,7034,プロレド・パートナーズ,Prime,サービス,350,38.3,-56.5,-38.9,2.57,33765,7.98,1.16,,0,,100
3,9256,サクシード,Growth,サービス,1275,45.7,-77,-77,1.99,231188,39.75,-74.5,✅,2,"2機関が2回以上連続買戻し (JPモルガン証券×3連続, モルガン・スタンレーMUFG×3連続)",100
4,5026,トリプルアイズ,Growth,DX・SaaS,562,47.1,-58.1,-38.5,0.87,48768,7.55,-1.58,✅,1,1機関が2回以上連続買戻し (Nomura International×2連続),96
5,6217,津田駒工業,Standard,ロボット・FA,699,44.6,-74.2,-74.2,0.6,309157,11.34,-23.86,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×5連続),96
6,5817,ＪＭＡＣＳ,Standard,内需・ディフェンシブ,925,52,-64.1,-64.1,0.81,200088,7.87,8.06,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×3連続),96
7,6433,ヒーハイスト,Standard,ロボット・FA,892,55.6,-66.3,-66.3,0.6,259978,8.7,-14.4,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),96
8,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,5190,410.5,-62.3,-50,0.65,141785,4.84,-0.38,✅,2,"2機関が2回以上連続買戻し (モルガン・スタンレーMUFG×11連続, Barclays Capital Securiti×2連続)",95.7
9,4840,トライアイズ,Standard,サービス,516,44.6,-61.5,-61.5,0.57,78008,7.35,-23.67,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×6連続, モルガン・スタンレーMUFG×2連続)",95
10,3444,菊池製作所,Standard,内需・ディフェンシブ,930,112.3,-50.5,-50.5,0.31,458315,6.15,-17.48,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続),94.3
11,4418,ＪＤＳＣ,Growth,DX・SaaS,805,127,-58.6,-28.3,1.02,229580,8.23,11.65,✅,1,1機関が2回以上連続買戻し (Nomura International×9連続),93.8
12,7794,イーディーピー,Growth,ゲーム・エンタメ,860,137.1,-72.3,-72.3,0.75,495222,5.77,-29.62,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×4連続),93.5
13,4422,ＶＡＬＵＥＮＥＸ,Growth,DX・SaaS,519,44.4,-68.2,-68.2,0.31,198575,5.46,-6.82,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),92.9
14,4579,ラクオリア創薬,Growth,バイオ・医療,482,125.4,-67.1,-58.1,0.6,217235,3.44,2.34,✅,2,"2機関が2回以上連続買戻し (Barclays Capital Securiti×3連続, GOLDMAN SACHS×2連続)",92.9
15,5724,アサカ理研,Standard,内需・ディフェンシブ,2359,118.8,-57.1,-46.5,0.79,54442,5.27,-6.94,✅,1,1機関が2回以上連続買戻し (Nomura International×3連続),92.5
16,4165,プレイド,Growth,AI・データ,578,237.4,-53.3,-28.2,0.58,466423,4.37,11.15,✅,2,"2機関が2回以上連続買戻し (GOLDMAN SACHS×11連続, Barclays Capital Securiti×3連続)",92.3
17,9115,明海グループ,Standard,内需・ディフェンシブ,814,277.2,-53.6,-53.6,1.45,36730,5.67,-0.49,,0,,91.8
18,4446,Ｌｉｎｋ－Ｕグループ,Prime,DX・SaaS,823,116.7,-54.6,-40.1,0.31,272675,4.64,-2.37,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),91.3
19,2998,クリアル,Growth,内需・ディフェンシブ,500,178.3,-67.5,-49.9,0.8,208930,4.31,-2.15,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×9連続),90.6
20,4412,サイエンスアーツ,Growth,DX・SaaS,1141,92.6,-57,-54.8,1.03,47680,7.38,-2.65,,0,,90.3
21,7375,リファインバースグループ,Growth,サービス,1093,36.6,-58.9,-58.9,0.35,117197,6.23,-11.64,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×3連続),89.5
22,1514,住石ホールディングス,Standard,内需・ディフェンシブ,577,345.2,-62.2,-62.2,0.64,412113,3.65,6.07,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×5連続),89.3
23,2216,カンロ,Standard,内需・ディフェンシブ,1100,464,-54.4,-33.5,1.36,89067,4.61,-0.27,,0,,88.8
24,5707,東邦亜鉛,Prime,内需・ディフェンシブ,881,335.8,-64.9,-54.4,1.1,372358,5.65,5.89,,0,,88.3
25,4813,ＡＣＣＥＳＳ,Prime,DX・SaaS,343,129,-60.6,-50.4,1.26,464003,4.77,0.88,,0,,88.1
26,5597,ブルーイノベーション,Growth,DX・SaaS,1236,49.8,-59.7,-59.4,0.3,160752,5.78,-6.36,,0,,87.6
27,7373,アイドマ・ホールディングス,Growth,サービス,946,140.6,-70.9,-57.6,1.11,118397,4.49,-20.7,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×3連続),87
28,5892,ｙｕｔｏｒｉ,Growth,内需・ディフェンシブ,2117,115.5,-66.2,-29.1,0.81,69270,3.32,2.07,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×2連続),87
29,4575,キャンバス,Growth,バイオ・医療,737,145.2,-52.7,-25.6,1.12,228715,7.06,24.92,,0,,86.7
30,5590,ネットスターズ,Growth,DX・SaaS,668,112.8,-51,-27.7,0.28,312260,3.61,-7.86,✅,1,1機関が2回以上連続買戻し (大和証券×2連続),86.4
31,6228,ジェイ・イー・ティ,Standard,ロボット・FA,565,74.2,-52.8,-35.4,0.7,101482,5.02,5.61,,0,,86
32,9130,共栄タンカー,Standard,内需・ディフェンシブ,1409,107.8,-53,-53,1.19,38317,3.85,-1.12,,0,,85.6
33,6620,宮越ホールディングス,Prime,内需・ディフェンシブ,672,268.9,-63.2,-36,0.49,196030,4.64,-15.04,,0,,85.3
34,3267,フィル・カンパニー,Standard,内需・ディフェンシブ,612,32.9,-51.9,-51.9,0.89,42698,4.51,-13.68,,0,,85
35,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,Growth,サービス,337,149.5,-67.7,-52.7,0.44,284575,7.5,-14.47,,0,,85
36,5132,ｐｌｕｓｚｅｒｏ,Growth,DX・SaaS,1909,148.7,-57.5,-27.9,0.59,73548,5.67,-4.55,,0,,84.6
37,5729,日本精鉱,Standard,内需・ディフェンシブ,1511,148.1,-63,-56.5,0.71,33437,4.24,4.35,,0,,84.5
38,4570,免疫生物研究所,Growth,バイオ・医療,935,87.1,-75.4,-53.6,0.66,115652,4.19,-4.2,,0,,84.4
39,5599,Ｓ＆Ｊ,Growth,DX・SaaS,1050,58.5,-57.9,-56.8,0.52,44537,4.16,0,,0,,84.3
40,4395,アクリート,Growth,DX・SaaS,735,55.1,-55.4,-47.5,0.53,111902,4.13,-4.92,,0,,84.3
41,5031,モイ,Growth,DX・SaaS,322,45,-65.4,-65.4,0.09,423550,4.06,-2.42,,0,,84.1
42,4011,ヘッドウォータース,Growth,DX・SaaS,1945,118.8,-53.5,-37.1,0.79,44067,4.01,-8.25,,0,,84
43,4075,ブレインズテクノロジー,Growth,DX・SaaS,840,49.1,-60,-60,0.49,29585,3.89,-4.55,,0,,83.8
44,9235,売れるネット広告社グループ,Growth,サービス,498,40.4,-69.4,-44.2,0.22,209137,3.18,0.2,✅,1,1機関が2回以上連続買戻し (Nomura International×9連続),83.4
45,3963,シンクロ・フード,Prime,DX・SaaS,342,95.9,-52.7,-43.6,0.5,122527,3.61,11.76,,0,,83.2
46,5591,ＡＶＩＬＥＮ,Growth,DX・SaaS,806,49.2,-52.4,-39.7,0.43,42253,3.58,4.81,,0,,83.2
47,3653,モルフォ,Growth,DX・SaaS,630,32.5,-52.9,-25.9,0.68,28502,2.66,6.6,✅,1,1機関が2回以上連続買戻し (大和証券×8連続),83
48,5994,ファインシンター,Standard,内需・ディフェンシブ,950,40.7,-55.8,-55.8,0.77,24500,2.98,-5.75,,0,,82
49,4013,勤次郎,Growth,DX・SaaS,724,142.6,-52.3,-37.6,0.69,62150,2.36,8.38,,0,,80.7
50,2700,木徳神糧,Standard,内需・ディフェンシブ,1730,141.5,-72.8,-36.4,0.97,21172,2.35,-3.03,,0,,80.7
51,1844,大盛工業,Standard,内需・ディフェンシブ,474,88.7,-66.5,-32.4,0.73,103755,1.71,-3.17,,0,,80
52,4880,セルソース,Standard,バイオ・医療,322,63.9,-55,-26.7,0.71,57968,3.73,-2.42,,0,,79.8
53,9337,トリドリ,Growth,サービス,1641,54.2,-54.3,-54.3,0.88,25908,4.21,-0.55,,0,,79.4
54,2195,アミタホールディングス,Growth,サービス,325,57,-51.9,-51.9,0.25,85730,4.07,0.62,,0,,79.1
55,9556,ＩＮＴＬＯＯＰ,Growth,サービス,2064,194.3,-57.7,-44.5,0.74,58608,3.7,20,,0,,78.4
56,9168,ライズ・コンサルティング・グループ,Growth,サービス,402,96.3,-67.8,-26.3,0.79,180407,2.35,1.52,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×5連続),77.8
57,6580,ライトアップ,Growth,サービス,815,40.5,-76.2,-70.2,0.31,59678,3.25,-3.09,,0,,77.5
58,8938,グローム・ホールディングス,Growth,内需・ディフェンシブ,333,34.7,-52.4,-22.2,0.31,21442,4.08,-2.06,,0,,76.9
59,6557,ＡＩＡＩグループ,Growth,サービス,726,47.1,-55.2,-49,0.42,61418,2.86,17.67,,0,,76.7
60,7273,イクヨ,Standard,内需・ディフェンシブ,598,175,-55.1,-25.4,0.7,97757,2.52,-4.78,,0,,76.4
61,7071,アンビスホールディングス,Prime,サービス,382,374.8,-54.5,-28.1,0.62,431328,3.93,8.52,,0,,76.3
62,6030,アドベンチャー,Growth,サービス,1495,107.3,-56.8,-28.8,0.47,15830,3.62,5.06,,0,,76.2
63,7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,Prime,サービス,1207,150.3,-53.6,-18,0.64,119578,2.83,9.23,✅,2,"2機関が2回以上連続買戻し (Nomura International×3連続, JPモルガン証券×3連続)",76
64,7061,日本ホスピスホールディングス,Growth,サービス,562,47.5,-63.6,-48.6,0.37,85245,2.38,-1.75,,0,,75.8
65,4393,バンク・オブ・イノベーション,Growth,DX・SaaS,4935,196.1,-65.8,-22.8,0.81,36635,3.23,-2.85,,0,,75.7
66,4019,スタメン,Growth,DX・SaaS,625,54.9,-58.6,-20.8,0.38,37393,3.29,-1.11,,0,,74.2
67,3726,フォーシーズＨＤ,Standard,内需・ディフェンシブ,391,51.4,-53.5,-19.4,0.3,44335,2.25,14.66,,0,,71
68,9211,エフ・コード,Growth,サービス,1350,165.2,-54.8,-21.8,0.73,132482,3.66,-3.16,,0,,70.8
69,7351,グッドパッチ,Growth,サービス,437,38.2,-56.5,-21.1,0.83,12638,1.68,-5.21,,0,,66.9
