,Ticker,Name,Market,Theme,Close,MCap (¥100M),12M DD (%),6M DD (%),Vol Surge (10/60),60D Avg Vol,ATR (%),20D Mom (%),Short Cover,Cover Insts,Cover Detail,R/R Score
0,4425,Ｋｕｄａｎ,Growth,DX・SaaS,1466,176.3,-53.3,-53.3,1.87,227077,6.84,-14.77,,0,,98.3
1,4422,ＶＡＬＵＥＮＥＸ,Growth,DX・SaaS,567,50,-65.2,-65.2,1.81,132205,6.6,2.16,,0,,97.3
2,6433,ヒーハイスト,Standard,ロボット・FA,1068,67.4,-59.7,-55.1,1.13,173680,6.72,10.79,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×2連続),96.7
3,4889,レナサイエンス,Growth,バイオ・医療,1135,164.4,-54.4,-48.1,0.93,426068,7.36,-26.44,✅,1,1機関が2回以上連続買戻し (JPモルガン証券×3連続),96
4,4263,サスメド,Growth,DX・SaaS,423,71.5,-65.6,-65.6,1.72,120337,5.86,-40.42,,0,,94.9
5,5597,ブルーイノベーション,Growth,DX・SaaS,1350,55.8,-55.7,-55.7,0.99,51878,5.01,1.66,✅,1,1機関が2回以上連続買戻し (GOLDMAN SACHS×3連続),92
6,4579,ラクオリア創薬,Growth,バイオ・医療,550,142.9,-62.5,-43.9,0.97,150878,4.75,11.34,✅,1,1機関が2回以上連続買戻し (Barclays Capital Securiti×6連続),91.5
7,3692,ＦＦＲＩセキュリティ,Growth,DX・SaaS,5620,498.3,-59.2,-34.5,1.45,120203,5.24,5.84,,0,,91
8,6217,津田駒工業,Standard,ロボット・FA,784,49.6,-71.1,-71.1,0.38,232170,6.92,1.95,,0,,89.8
9,4570,免疫生物研究所,Growth,バイオ・医療,1047,98.9,-72.5,-36.1,1.26,112738,5.11,9.06,,0,,88.8
10,1514,住石ホールディングス,Standard,内需・ディフェンシブ,667,402,-56.3,-43.3,1.42,384148,4.1,12.1,,0,,88.4
11,3134,Ｈａｍｅｅ,Standard,内需・ディフェンシブ,308,49.6,-78.3,-39.7,0.54,83632,2.74,4.41,✅,1,1機関が2回以上連続買戻し (モルガン・スタンレーMUFG×14連続),87.5
12,4894,クオリプス,Growth,バイオ・医療,5300,443.5,-57.3,-33.6,0.81,129815,5.53,7.18,,0,,87.1
13,4446,Ｌｉｎｋ－Ｕグループ,Standard,DX・SaaS,835,119.3,-54,-29.1,0.1,258245,3.33,0.85,✅,1,1機関が2回以上連続買戻し (大和証券×4連続),87
14,7794,イーディーピー,Growth,ゲーム・エンタメ,972,165.8,-68.6,-42.1,1.05,369288,5.07,8.36,,0,,86.6
15,6580,ライトアップ,Growth,サービス,882,44.1,-74.2,-54.6,1.5,36065,5.19,6.65,,0,,86.4
