date,time,strategy,symbol,price,under_before,under_after,under_inc,under_pct,consecutive
2026-07-13,10:48:12,小口売り連続/WATCH,5724,2401.0,,,,,5
2026-07-13,10:48:23,UNDER急増,5591,836.0,18500,29900,11400,61.6,
2026-07-13,10:51:52,小口売り連続/WATCH,5724,2385.0,,,,,5
2026-07-13,10:51:58,UNDER急増,4395,762.0,41100,58700,17600,42.8,
2026-07-13,10:53:31,UNDER急増,4446,834.0,53600,67700,14100,26.3,
2026-07-13,11:09:35,UNDER急増,4011,2058.0,23300,29500,6200,26.6,
2026-07-13,11:11:27,UNDER急増,9115,818.0,12900,23400,10500,81.4,
2026-07-13,11:18:26,UNDER急増,5892,2047.0,26600,32600,6000,22.6,
2026-07-13,11:27:51,小口売り連続/WATCH,4165,551.0,,,,,5
2026-07-13,11:29:57,UNDER急増,9115,820.0,5200,7500,2300,44.2,
2026-07-13,12:22:34,UNDER急増,8798,133.0,30100,37400,7300,24.3,
2026-07-13,12:31:00,UNDER急増,5591,831.0,16600,28000,11400,68.7,
2026-07-13,12:31:14,UNDER急増,9130,1460.0,19000,27000,8000,42.1,
2026-07-13,12:31:17,UNDER急増,4570,991.0,38800,54800,16000,41.2,
2026-07-13,12:31:48,UNDER急増,5817,854.0,32600,46000,13400,41.1,
2026-07-13,12:36:07,UNDER急増,5817,846.0,32400,45400,13000,40.1,
2026-07-13,12:40:59,UNDER急増,4075,899.0,9300,18800,9500,102.2,
2026-07-13,12:41:47,UNDER急増,7352,405.0,35200,85500,50300,142.9,
2026-07-13,12:44:48,UNDER急増,7352,408.0,46100,94000,47900,103.9,
2026-07-13,12:53:48,小口売り連続/WATCH,7071,376.0,,,,,5
2026-07-13,13:00:29,小口売り連続/WATCH,6620,737.0,,,,,5
2026-07-13,13:01:02,小口売り連続/WATCH,4412,1228.0,,,,,5
2026-07-13,13:05:32,UNDER急増,4075,900.0,9500,18900,9400,98.9,
2026-07-13,13:22:14,UNDER急増,9115,820.0,5100,15700,10600,207.8,
2026-07-13,13:24:55,UNDER急増,4570,990.0,42000,58000,16000,38.1,
2026-07-13,13:25:03,小口売り連続/WATCH,7071,370.0,,,,,5
2026-07-13,13:31:07,小口売り連続/WATCH,4446,817.0,,,,,5
2026-07-13,13:31:30,UNDER急増,6495,132.0,50900,136700,85800,168.6,
2026-07-13,13:32:19,小口売り連続/WATCH,7071,369.0,,,,,5
2026-07-13,13:40:48,小口売り連続/WATCH,4575,759.0,,,,,5
2026-07-13,13:51:53,小口売り連続/WATCH,5588,755.0,,,,,5
2026-07-13,14:22:39,小口売り連続/WATCH,4894,4705.0,,,,,5
2026-07-13,14:23:07,小口売り連続/WATCH,4446,823.0,,,,,5
2026-07-13,14:44:37,UNDER急増,4446,815.0,45400,60200,14800,32.6,
2026-07-13,14:47:23,UNDER急増,6495,132.0,50700,132000,81300,160.4,
2026-07-13,14:48:39,UNDER急増,6495,132.0,50700,132000,81300,160.4,
2026-07-13,14:56:13,小口売り連続/WATCH,7071,371.0,,,,,5
2026-07-13,15:14:13,小口売り連続/WATCH,4446,817.0,,,,,5
2026-07-13,15:18:52,小口売り連続/WATCH,4575,758.0,,,,,5
2026-07-13,15:19:05,UNDER急増,8798,133.0,47200,57000,9800,20.8,
2026-07-13,15:20:37,小口売り連続/WATCH,6228,509.0,,,,,5
2026-07-13,15:29:57,UNDER急増,8798,132.0,30100,37400,7300,24.3,
2026-07-14,09:00:26,投げ売り/買い気配へぶつけ,4813,326.0,,,,,
2026-07-14,09:01:01,UNDER急増,9130,1450.0,18000,25800,7800,43.3,
2026-07-14,09:01:03,UNDER急増,5132,1944.0,10200,13100,2900,28.4,
2026-07-14,09:01:05,UNDER急増,4570,985.0,34300,52300,18000,52.5,
2026-07-14,09:01:05,UNDER急増,5599,1115.0,16000,24200,8200,51.2,
2026-07-14,09:01:12,UNDER急増,4165,560.0,163600,209700,46100,28.2,
2026-07-14,09:01:15,UNDER急増,2998,551.0,83600,136800,53200,63.6,
2026-07-14,09:01:16,UNDER急増,4488,2097.0,8700,11100,2400,27.6,
2026-07-14,09:01:17,UNDER急増,7352,409.0,48400,96200,47800,98.8,
2026-07-14,09:01:50,UNDER急増,4395,770.0,34700,52100,17400,50.1,
2026-07-14,09:01:53,UNDER急増,5129,261.0,46400,84900,38500,83.0,
2026-07-14,09:01:58,UNDER急増,5817,847.0,21900,34200,12300,56.2,
2026-07-14,09:02:29,UNDER急増,4446,816.0,70000,84500,14500,20.7,
2026-07-14,09:02:46,UNDER急増,6620,735.0,73700,95600,21900,29.7,
2026-07-14,09:03:06,小口売り連続/WATCH,4418,765.0,,,,,5
2026-07-14,09:03:25,UNDER急増,4488,2097.0,9400,11900,2500,26.6,
2026-07-14,09:03:47,小口売り連続/WATCH,7071,376.0,,,,,5
2026-07-14,09:04:08,UNDER急増,3747,434.0,35800,65300,29500,82.4,
2026-07-14,09:04:12,UNDER急増,7018,9750.0,9100,11500,2400,26.4,
2026-07-14,09:05:57,UNDER急増,5597,1380.0,26100,32700,6600,25.3,
2026-07-14,09:05:59,小口売り連続/WATCH,4446,808.0,,,,,5
2026-07-14,09:06:14,UNDER急増,4575,733.0,39300,50700,11400,29.0,
2026-07-14,09:06:17,UNDER急増,5132,1933.0,14200,19800,5600,39.4,
2026-07-14,09:06:17,UNDER急増,3747,430.0,37100,64200,27100,73.0,
2026-07-14,09:06:45,UNDER急増,4488,2097.0,10400,12500,2100,20.2,
2026-07-14,09:06:57,UNDER急増,5597,1386.0,27400,33900,6500,23.7,
2026-07-14,09:08:52,UNDER急増,4575,735.0,50400,62300,11900,23.6,
2026-07-14,09:09:44,UNDER急増,3747,428.0,34500,64900,30400,88.1,
2026-07-14,09:10:05,UNDER急増,4570,979.0,37300,53200,15900,42.6,
2026-07-14,09:12:20,UNDER急増,5588,738.0,15600,28300,12700,81.4,
2026-07-14,09:13:37,小口売り連続/WATCH,4575,737.0,,,,,5
2026-07-14,09:13:43,小口売り連続/WATCH,5129,265.0,,,,,5
2026-07-14,09:14:39,UNDER急増,7602,156.0,57600,70400,12800,22.2,
2026-07-14,09:14:41,UNDER急増,7018,9670.0,11000,13600,2600,23.6,
2026-07-14,09:19:02,小口売り連続/WATCH,9229,151.0,,,,,5
2026-07-14,09:20:37,小口売り連続/WATCH,4165,595.0,,,,,5
2026-07-14,09:23:16,小口売り連続/WATCH,4446,835.0,,,,,5
2026-07-14,09:23:44,UNDER急増,5724,2382.0,26200,31700,5500,21.0,
2026-07-14,09:24:10,UNDER急増,9115,829.0,11400,23900,12500,109.6,
2026-07-14,09:25:11,UNDER急増,9115,829.0,12300,22900,10600,86.2,
2026-07-14,09:25:18,小口売り連続/WATCH,7352,434.0,,,,,5
2026-07-14,09:25:58,小口売り連続/STRONG,7352,434.0,,,,,10
2026-07-14,09:26:25,UNDER急増,3747,426.0,35900,64700,28800,80.2,
2026-07-14,09:28:29,UNDER急増,7602,156.0,57700,71200,13500,23.4,
2026-07-14,09:28:58,UNDER急増,9115,829.0,12300,24000,11700,95.1,
2026-07-14,09:31:11,UNDER急増,5707,810.0,94900,126800,31900,33.6,
2026-07-14,09:36:17,UNDER急増,7071,375.0,231900,300200,68300,29.5,
2026-07-14,09:39:37,小口売り連続/WATCH,7352,431.0,,,,,5
2026-07-14,09:49:18,小口売り連続/WATCH,3692,5330.0,,,,,5
2026-07-14,10:03:18,UNDER急増,4840,641.0,6800,16700,9900,145.6,
2026-07-14,10:14:58,小口売り連続/WATCH,7071,375.0,,,,,5
2026-07-14,10:16:23,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,10:19:41,UNDER急増,4011,2084.0,27500,33500,6000,21.8,
2026-07-14,10:27:34,小口売り連続/WATCH,5591,830.0,,,,,5
