week,date,time,strategy,symbol,price,under_before,under_after,under_pct,consecutive
week1,2026-07-13,10:22:38,UNDER急増,4570,1000.0,39200,55300,41.1,
week1,2026-07-13,10:24:08,小口売り連続/WATCH,5597,1414.0,,,,5
week1,2026-07-13,10:24:56,UNDER急増,3747,423.0,47500,77600,63.4,
week1,2026-07-13,10:25:35,UNDER急増,5129,246.0,36800,75100,104.1,
week1,2026-07-13,10:26:26,小口売り連続/WATCH,3692,5320.0,,,,5
week1,2026-07-13,10:28:20,UNDER急増,4395,762.0,41500,59100,42.4,
week1,2026-07-13,10:31:31,UNDER急増,4075,896.0,9600,18500,92.7,
week1,2026-07-13,10:32:47,UNDER急増,4840,650.0,8300,20300,144.6,
week1,2026-07-13,10:33:33,UNDER急増,5817,855.0,34200,48600,42.1,
week1,2026-07-13,10:34:17,UNDER急増,2321,142.0,87900,189200,115.2,
week1,2026-07-13,10:40:07,UNDER急増,4570,1000.0,39900,55900,40.1,
week1,2026-07-13,10:41:08,UNDER急増,4570,995.0,38600,54600,41.5,
week1,2026-07-13,10:41:31,小口売り連続/WATCH,4075,896.0,,,,5
week1,2026-07-13,10:42:33,UNDER急増,4395,762.0,41700,59300,42.2,
week1,2026-07-13,10:43:12,小口売り連続/WATCH,4894,4705.0,,,,5
week1,2026-07-13,10:44:44,UNDER急増,9229,151.0,117500,300300,155.6,
week1,2026-07-13,10:44:46,UNDER急増,4075,895.0,9600,19200,100.0,
week1,2026-07-13,10:45:15,小口売り連続/WATCH,2998,547.0,,,,5
week1,2026-07-13,10:48:12,小口売り連続/WATCH,5724,2401.0,,,,5
week1,2026-07-13,10:48:23,UNDER急増,5591,836.0,18500,29900,61.6,
week1,2026-07-13,10:51:52,小口売り連続/WATCH,5724,2385.0,,,,5
week1,2026-07-13,10:51:58,UNDER急増,4395,762.0,41100,58700,42.8,
week1,2026-07-13,10:53:31,UNDER急増,4446,834.0,53600,67700,26.3,
week1,2026-07-13,11:09:35,UNDER急増,4011,2058.0,23300,29500,26.6,
week1,2026-07-13,11:11:27,UNDER急増,9115,818.0,12900,23400,81.4,
week1,2026-07-13,11:18:26,UNDER急増,5892,2047.0,26600,32600,22.6,
week1,2026-07-13,11:27:51,小口売り連続/WATCH,4165,551.0,,,,5
week1,2026-07-13,11:29:57,UNDER急増,9115,820.0,5200,7500,44.2,
week1,2026-07-13,12:22:34,UNDER急増,8798,133.0,30100,37400,24.3,
week1,2026-07-13,12:31:00,UNDER急増,5591,831.0,16600,28000,68.7,
week1,2026-07-13,12:31:14,UNDER急増,9130,1460.0,19000,27000,42.1,
week1,2026-07-13,12:31:17,UNDER急増,4570,991.0,38800,54800,41.2,
week1,2026-07-13,12:31:48,UNDER急増,5817,854.0,32600,46000,41.1,
week1,2026-07-13,12:36:07,UNDER急増,5817,846.0,32400,45400,40.1,
week1,2026-07-13,12:40:59,UNDER急増,4075,899.0,9300,18800,102.2,
week1,2026-07-13,12:41:47,UNDER急増,7352,405.0,35200,85500,142.9,
week1,2026-07-13,12:44:48,UNDER急増,7352,408.0,46100,94000,103.9,
week1,2026-07-13,12:53:48,小口売り連続/WATCH,7071,376.0,,,,5
week1,2026-07-13,13:00:29,小口売り連続/WATCH,6620,737.0,,,,5
week1,2026-07-13,13:01:02,小口売り連続/WATCH,4412,1228.0,,,,5
week1,2026-07-13,13:05:32,UNDER急増,4075,900.0,9500,18900,98.9,
week1,2026-07-13,13:22:14,UNDER急増,9115,820.0,5100,15700,207.8,
week1,2026-07-13,13:24:55,UNDER急増,4570,990.0,42000,58000,38.1,
week1,2026-07-13,13:25:03,小口売り連続/WATCH,7071,370.0,,,,5
week1,2026-07-13,13:31:07,小口売り連続/WATCH,4446,817.0,,,,5
week1,2026-07-13,13:31:30,UNDER急増,6495,132.0,50900,136700,168.6,
week1,2026-07-13,13:32:19,小口売り連続/WATCH,7071,369.0,,,,5
week1,2026-07-13,13:40:48,小口売り連続/WATCH,4575,759.0,,,,5
week1,2026-07-13,13:51:53,小口売り連続/WATCH,5588,755.0,,,,5
week1,2026-07-13,14:22:39,小口売り連続/WATCH,4894,4705.0,,,,5
week1,2026-07-13,14:23:07,小口売り連続/WATCH,4446,823.0,,,,5
week1,2026-07-13,14:44:37,UNDER急増,4446,815.0,45400,60200,32.6,
week1,2026-07-13,14:47:23,UNDER急増,6495,132.0,50700,132000,160.4,
week1,2026-07-13,14:48:39,UNDER急増,6495,132.0,50700,132000,160.4,
week1,2026-07-13,14:56:13,小口売り連続/WATCH,7071,371.0,,,,5
week1,2026-07-13,15:14:13,小口売り連続/WATCH,4446,817.0,,,,5
week1,2026-07-13,15:18:52,小口売り連続/WATCH,4575,758.0,,,,5
week1,2026-07-13,15:19:05,UNDER急増,8798,133.0,47200,57000,20.8,
week1,2026-07-13,15:20:37,小口売り連続/WATCH,6228,509.0,,,,5
week1,2026-07-13,15:29:57,UNDER急増,8798,132.0,30100,37400,24.3,
week1,2026-07-14,09:00:26,投げ売り/買い気配へぶつけ,4813,326.0,,,,
week1,2026-07-14,09:01:01,UNDER急増,9130,1450.0,18000,25800,43.3,
week1,2026-07-14,09:01:03,UNDER急増,5132,1944.0,10200,13100,28.4,
week1,2026-07-14,09:01:05,UNDER急増,4570,985.0,34300,52300,52.5,
week1,2026-07-14,09:01:05,UNDER急増,5599,1115.0,16000,24200,51.2,
week1,2026-07-14,09:01:12,UNDER急増,4165,560.0,163600,209700,28.2,
week1,2026-07-14,09:01:15,UNDER急増,2998,551.0,83600,136800,63.6,
week1,2026-07-14,09:01:16,UNDER急増,4488,2097.0,8700,11100,27.6,
week1,2026-07-14,09:01:17,UNDER急増,7352,409.0,48400,96200,98.8,
week1,2026-07-14,09:01:50,UNDER急増,4395,770.0,34700,52100,50.1,
week1,2026-07-14,09:01:53,UNDER急増,5129,261.0,46400,84900,83.0,
week1,2026-07-14,09:01:58,UNDER急増,5817,847.0,21900,34200,56.2,
week1,2026-07-14,09:02:29,UNDER急増,4446,816.0,70000,84500,20.7,
week1,2026-07-14,09:02:46,UNDER急増,6620,735.0,73700,95600,29.7,
week1,2026-07-14,09:03:06,小口売り連続/WATCH,4418,765.0,,,,5
week1,2026-07-14,09:03:25,UNDER急増,4488,2097.0,9400,11900,26.6,
week1,2026-07-14,09:03:47,小口売り連続/WATCH,7071,376.0,,,,5
week1,2026-07-14,09:04:08,UNDER急増,3747,434.0,35800,65300,82.4,
week1,2026-07-14,09:04:12,UNDER急増,7018,9750.0,9100,11500,26.4,
week1,2026-07-14,09:05:57,UNDER急増,5597,1380.0,26100,32700,25.3,
week1,2026-07-14,09:05:59,小口売り連続/WATCH,4446,808.0,,,,5
week1,2026-07-14,09:06:14,UNDER急増,4575,733.0,39300,50700,29.0,
week1,2026-07-14,09:06:17,UNDER急増,5132,1933.0,14200,19800,39.4,
week1,2026-07-14,09:06:17,UNDER急増,3747,430.0,37100,64200,73.0,
week1,2026-07-14,09:06:45,UNDER急増,4488,2097.0,10400,12500,20.2,
week1,2026-07-14,09:06:57,UNDER急増,5597,1386.0,27400,33900,23.7,
week1,2026-07-14,09:08:52,UNDER急増,4575,735.0,50400,62300,23.6,
week1,2026-07-14,09:09:44,UNDER急増,3747,428.0,34500,64900,88.1,
week1,2026-07-14,09:10:05,UNDER急増,4570,979.0,37300,53200,42.6,
week1,2026-07-14,09:12:20,UNDER急増,5588,738.0,15600,28300,81.4,
week1,2026-07-14,09:13:37,小口売り連続/WATCH,4575,737.0,,,,5
week1,2026-07-14,09:13:43,小口売り連続/WATCH,5129,265.0,,,,5
week1,2026-07-14,09:14:39,UNDER急増,7602,156.0,57600,70400,22.2,
week1,2026-07-14,09:14:41,UNDER急増,7018,9670.0,11000,13600,23.6,
week1,2026-07-14,09:19:02,小口売り連続/WATCH,9229,151.0,,,,5
week1,2026-07-14,09:20:37,小口売り連続/WATCH,4165,595.0,,,,5
week1,2026-07-14,09:23:16,小口売り連続/WATCH,4446,835.0,,,,5
week1,2026-07-14,09:23:44,UNDER急増,5724,2382.0,26200,31700,21.0,
week1,2026-07-14,09:24:10,UNDER急増,9115,829.0,11400,23900,109.6,
week1,2026-07-14,09:25:11,UNDER急増,9115,829.0,12300,22900,86.2,
week1,2026-07-14,09:25:18,小口売り連続/WATCH,7352,434.0,,,,5
week1,2026-07-14,09:25:58,小口売り連続/STRONG,7352,434.0,,,,10
week1,2026-07-14,09:26:25,UNDER急増,3747,426.0,35900,64700,80.2,
week1,2026-07-14,09:28:29,UNDER急増,7602,156.0,57700,71200,23.4,
week1,2026-07-14,09:28:58,UNDER急増,9115,829.0,12300,24000,95.1,
week1,2026-07-14,09:31:11,UNDER急増,5707,810.0,94900,126800,33.6,
week1,2026-07-14,09:36:17,UNDER急増,7071,375.0,231900,300200,29.5,
week1,2026-07-14,09:39:37,小口売り連続/WATCH,7352,431.0,,,,5
week1,2026-07-14,09:49:18,小口売り連続/WATCH,3692,5330.0,,,,5
week1,2026-07-14,10:03:18,UNDER急増,4840,641.0,6800,16700,145.6,
week1,2026-07-14,10:14:58,小口売り連続/WATCH,7071,375.0,,,,5
week1,2026-07-14,10:16:23,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,10:19:41,UNDER急増,4011,2084.0,27500,33500,21.8,
week1,2026-07-14,10:27:34,小口売り連続/WATCH,5591,830.0,,,,5
week1,2026-07-14,10:34:19,小口売り連続/WATCH,6620,743.0,,,,5
week1,2026-07-14,10:38:27,UNDER急増,3747,428.0,36800,67000,82.1,
week1,2026-07-14,10:41:32,小口売り連続/WATCH,9229,149.0,,,,5
week1,2026-07-14,10:44:19,小口売り連続/WATCH,7071,376.0,,,,5
week1,2026-07-14,10:47:29,小口売り連続/WATCH,4176,260.0,,,,5
week1,2026-07-14,10:54:34,UNDER急増,9327,210.0,9000,13400,48.9,
week1,2026-07-14,10:55:51,UNDER急増,9327,206.0,7300,11800,61.6,
week1,2026-07-14,10:59:17,小口売り連続/WATCH,4446,827.0,,,,5
week1,2026-07-14,11:06:40,小口売り連続/WATCH,4570,982.0,,,,5
week1,2026-07-14,11:07:38,UNDER急増,5591,825.0,15900,27100,70.4,
week1,2026-07-14,11:10:56,小口売り連続/WATCH,6228,513.0,,,,5
week1,2026-07-14,11:11:37,小口売り連続/WATCH,4575,751.0,,,,5
week1,2026-07-14,11:12:59,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,11:15:27,小口売り連続/WATCH,7071,373.0,,,,5
week1,2026-07-14,11:21:38,小口売り連続/WATCH,3747,432.0,,,,5
week1,2026-07-14,11:22:04,小口売り連続/STRONG,6228,511.0,,,,10
week1,2026-07-14,11:23:53,小口売り連続/WATCH,7071,372.0,,,,5
week1,2026-07-14,11:29:18,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,11:30:02,小口売り連続/WATCH,4446,824.0,,,,5
week1,2026-07-14,12:17:25,UNDER急増,4840,615.0,3900,5400,38.5,
week1,2026-07-14,12:25:37,UNDER急増,5817,842.0,14700,18100,23.1,
week1,2026-07-14,12:26:44,UNDER急増,4176,259.0,30000,39100,30.3,
week1,2026-07-14,12:28:05,UNDER急増,4840,615.0,6100,7900,29.5,
week1,2026-07-14,12:29:44,UNDER急増,6228,509.0,24700,30900,25.1,
week1,2026-07-14,12:31:00,UNDER急増,9130,1438.0,17400,25900,48.9,
week1,2026-07-14,12:32:03,UNDER急増,5599,1106.0,16100,25900,60.9,
week1,2026-07-14,12:33:08,小口売り連続/WATCH,7071,371.0,,,,5
week1,2026-07-14,12:45:12,UNDER急増,7602,156.0,57600,70300,22.0,
week1,2026-07-14,12:53:45,小口売り連続/WATCH,7352,443.0,,,,5
week1,2026-07-14,13:05:36,小口売り連続/WATCH,7071,376.0,,,,5
week1,2026-07-14,13:10:49,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,13:13:46,小口売り連続/WATCH,7071,376.0,,,,5
week1,2026-07-14,13:25:05,小口売り連続/WATCH,4418,852.0,,,,5
week1,2026-07-14,13:25:07,小口売り連続/WATCH,7071,376.0,,,,5
week1,2026-07-14,13:30:35,小口売り連続/WATCH,4165,603.0,,,,5
week1,2026-07-14,13:35:32,UNDER急増,4840,620.0,6600,17100,159.1,
week1,2026-07-14,13:37:30,小口売り連続/WATCH,4165,603.0,,,,5
week1,2026-07-14,14:00:53,小口売り連続/WATCH,9229,149.0,,,,5
week1,2026-07-14,14:03:12,小口売り連続/WATCH,7071,375.0,,,,5
week1,2026-07-14,14:14:26,小口売り連続/WATCH,4418,914.0,,,,5
week1,2026-07-14,14:17:31,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,14:20:35,小口売り連続/WATCH,4418,904.0,,,,5
week1,2026-07-14,14:28:32,小口売り連続/WATCH,4418,897.0,,,,5
week1,2026-07-14,14:32:32,小口売り連続/WATCH,4418,908.0,,,,5
week1,2026-07-14,14:36:48,小口売り連続/WATCH,3747,437.0,,,,5
week1,2026-07-14,14:40:39,小口売り連続/WATCH,7071,375.0,,,,5
week1,2026-07-14,14:56:09,小口売り連続/WATCH,3323,74.0,,,,5
week1,2026-07-14,14:57:07,UNDER急増,8798,130.0,45400,65400,44.1,
week1,2026-07-14,14:59:54,小口売り連続/WATCH,4446,829.0,,,,5
week1,2026-07-14,15:00:09,小口売り連続/WATCH,5597,1365.0,,,,5
week1,2026-07-14,15:01:23,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,15:08:49,小口売り連続/WATCH,7071,373.0,,,,5
week1,2026-07-14,15:09:42,小口売り連続/WATCH,4176,263.0,,,,5
week1,2026-07-14,15:10:15,小口売り連続/STRONG,3686,72.0,,,,10
week1,2026-07-14,15:12:40,小口売り連続/WATCH,7071,373.0,,,,5
week1,2026-07-14,15:15:51,小口売り連続/WATCH,7071,373.0,,,,5
week1,2026-07-14,15:16:22,小口売り連続/WATCH,6495,131.0,,,,5
week1,2026-07-14,15:22:34,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-14,15:23:40,小口売り連続/STRONG,3686,72.0,,,,10
week1,2026-07-14,15:23:52,小口売り連続/WATCH,4446,827.0,,,,5
week1,2026-07-14,15:24:59,小口売り連続/WATCH,2998,535.0,,,,5
week1,2026-07-14,15:27:08,UNDER急増,6620,721.0,45300,56200,24.1,
week1,2026-07-14,15:28:43,UNDER急増,6620,721.0,45300,56200,24.1,
week1,2026-07-15,09:01:01,UNDER急増,5724,2411.0,22800,28400,24.6,
week1,2026-07-15,09:01:02,UNDER急増,5137,225.0,93900,212300,126.1,
week1,2026-07-15,09:01:17,UNDER急増,4165,585.0,114100,158100,38.6,
week1,2026-07-15,09:01:25,UNDER急増,3747,435.0,32100,60500,88.5,
week1,2026-07-15,09:01:31,UNDER急増,9115,832.0,10600,21700,104.7,
week1,2026-07-15,09:01:35,UNDER急増,5591,835.0,16400,27400,67.1,
week1,2026-07-15,09:01:46,UNDER急増,5031,338.0,37500,94300,151.5,
week1,2026-07-15,09:01:47,UNDER急増,5597,1365.0,27700,34200,23.5,
week1,2026-07-15,09:01:58,UNDER急増,5132,1946.0,8900,18000,102.2,
week1,2026-07-15,09:02:24,UNDER急増,5892,2078.0,20400,25700,26.0,
week1,2026-07-15,09:03:01,UNDER急増,4575,755.0,68100,102300,50.2,
week1,2026-07-15,09:03:02,UNDER急増,5031,340.0,37500,94300,151.5,
week1,2026-07-15,09:03:17,UNDER急増,5132,1936.0,12400,15000,21.0,
week1,2026-07-15,09:04:01,UNDER急増,5707,850.0,100100,130400,30.3,
week1,2026-07-15,09:04:06,UNDER急増,9327,217.0,31500,37900,20.3,
week1,2026-07-15,09:05:02,UNDER急増,5707,853.0,95800,127600,33.2,
week1,2026-07-15,09:06:11,UNDER急増,4840,629.0,12300,22100,79.7,
week1,2026-07-15,09:08:25,UNDER急増,3963,345.0,20600,73000,254.4,
week1,2026-07-15,09:11:10,UNDER急増,4075,894.0,10300,18900,83.5,
week1,2026-07-15,09:11:44,UNDER急増,4840,629.0,12300,22100,79.7,
week1,2026-07-15,09:12:05,小口売り連続/WATCH,9229,151.0,,,,5
week1,2026-07-15,09:14:05,UNDER急増,4446,809.0,59100,73900,25.0,
week1,2026-07-15,09:14:35,小口売り連続/WATCH,4075,887.0,,,,5
week1,2026-07-15,09:15:14,UNDER急増,4840,629.0,12300,22100,79.7,
week1,2026-07-15,09:18:24,UNDER急増,4488,2141.0,9200,14900,62.0,
week1,2026-07-15,09:20:19,UNDER急増,4840,629.0,12300,22100,79.7,
week1,2026-07-15,09:22:32,UNDER急増,6228,520.0,35500,57700,62.5,
week1,2026-07-15,09:26:04,UNDER急増,4446,802.0,57600,75000,30.2,
week1,2026-07-15,09:27:44,小口売り連続/WATCH,5724,2418.0,,,,5
week1,2026-07-15,09:29:57,小口売り連続/WATCH,4894,4675.0,,,,5
week1,2026-07-15,09:30:53,小口売り連続/WATCH,3692,5360.0,,,,5
week1,2026-07-15,09:37:28,UNDER急増,2321,141.0,73100,185100,153.2,
week1,2026-07-15,09:38:34,小口売り連続/WATCH,4894,4645.0,,,,5
week1,2026-07-15,09:38:55,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-15,09:44:06,小口売り連続/WATCH,9130,1448.0,,,,5
week1,2026-07-15,09:44:47,UNDER急増,5588,751.0,11300,27700,145.1,
week1,2026-07-15,09:45:52,UNDER急増,5588,746.0,13400,26200,95.5,
week1,2026-07-15,09:49:21,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-15,09:49:53,UNDER急増,4446,795.0,51100,65900,29.0,
week1,2026-07-15,09:53:28,UNDER急増,4840,630.0,12800,22000,71.9,
week1,2026-07-15,09:57:05,小口売り連続/STRONG,3686,72.0,,,,10
week1,2026-07-15,10:00:11,小口売り連続/WATCH,5707,830.0,,,,5
week1,2026-07-15,10:05:09,小口売り連続/WATCH,5817,881.0,,,,5
week1,2026-07-15,10:05:17,小口売り連続/WATCH,5129,255.0,,,,5
week1,2026-07-15,10:10:49,小口売り連続/WATCH,4395,764.0,,,,5
week1,2026-07-15,10:11:07,小口売り連続/WATCH,5591,825.0,,,,5
week1,2026-07-15,10:18:22,小口売り連続/WATCH,4418,934.0,,,,5
week1,2026-07-15,10:19:52,UNDER急増,5132,1924.0,18300,23700,29.5,
week1,2026-07-15,10:21:32,UNDER急増,5591,826.0,17200,26600,54.7,
week1,2026-07-15,10:24:13,小口売り連続/WATCH,5588,746.0,,,,5
week1,2026-07-15,10:30:40,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-15,10:38:36,小口売り連続/WATCH,7602,164.0,,,,5
week1,2026-07-15,10:40:41,小口売り連続/STRONG,3686,72.0,,,,10
week1,2026-07-15,10:40:52,UNDER急増,3747,435.0,36800,63300,72.0,
week1,2026-07-15,10:45:39,小口売り連続/WATCH,5817,897.0,,,,5
week1,2026-07-15,10:57:43,UNDER急増,4165,578.0,137000,181500,32.5,
week1,2026-07-15,11:22:55,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-15,11:25:45,小口売り連続/WATCH,4418,946.0,,,,5
week1,2026-07-15,12:29:46,UNDER急増,3807,89.0,39000,64200,64.6,
week1,2026-07-15,12:32:34,UNDER急増,6228,516.0,32800,54900,67.4,
week1,2026-07-15,12:35:11,小口売り連続/WATCH,4418,960.0,,,,5
week1,2026-07-15,12:39:02,小口売り連続/WATCH,4418,961.0,,,,5
week1,2026-07-15,12:41:51,小口売り連続/WATCH,3686,72.0,,,,5
week1,2026-07-15,12:43:47,小口売り連続/WATCH,4446,808.0,,,,5
week1,2026-07-15,12:47:40,UNDER急増,3747,436.0,27300,59000,116.1,
week1,2026-07-15,12:49:01,小口売り連続/WATCH,4418,949.0,,,,5
week1,2026-07-15,12:50:25,小口売り連続/WATCH,4418,947.0,,,,5
week1,2026-07-15,12:52:18,小口売り連続/WATCH,4418,938.0,,,,5
week1,2026-07-15,12:53:32,小口売り連続/STRONG,3686,72.0,,,,10
week1,2026-07-15,13:11:50,小口売り連続/WATCH,7602,166.0,,,,5
week1,2026-07-15,13:15:32,小口売り連続/WATCH,9130,1453.0,,,,5
week1,2026-07-15,13:22:49,小口売り連続/WATCH,4176,274.0,,,,5
week1,2026-07-15,13:50:37,小口売り連続/WATCH,5132,1997.0,,,,5
week1,2026-07-15,14:16:15,小口売り連続/WATCH,3686,73.0,,,,5
week1,2026-07-15,14:23:40,小口売り連続/WATCH,4176,278.0,,,,5
week1,2026-07-15,14:25:14,小口売り連続/WATCH,3686,73.0,,,,5
week1,2026-07-15,14:34:34,小口売り連続/WATCH,3686,73.0,,,,5
week1,2026-07-15,14:37:04,小口売り連続/WATCH,4418,956.0,,,,5
week1,2026-07-15,14:46:27,小口売り連続/WATCH,2998,542.0,,,,5
week1,2026-07-15,14:48:59,小口売り連続/WATCH,3686,73.0,,,,5
week1,2026-07-15,14:57:16,小口売り連続/WATCH,4446,816.0,,,,5
week1,2026-07-15,15:00:04,小口売り連続/STRONG,3686,73.0,,,,10
week1,2026-07-15,15:13:42,小口売り連続/WATCH,7071,387.0,,,,5
week1,2026-07-15,15:19:46,小口売り連続/WATCH,9327,217.0,,,,5
week1,2026-07-15,15:21:35,小口売り連続/WATCH,3692,5620.0,,,,5
week1,2026-07-15,15:23:24,小口売り連続/WATCH,4570,1030.0,,,,5
week1,2026-07-16,09:01:30,UNDER急増,5707,838.0,106700,135400,26.9,
week1,2026-07-16,09:01:37,UNDER急増,4575,786.0,47200,80000,69.5,
week1,2026-07-16,09:01:53,UNDER急増,9327,213.0,9700,14000,44.3,
week1,2026-07-16,09:03:00,UNDER急増,5597,1431.0,25100,32700,30.3,
week1,2026-07-16,09:04:06,UNDER急増,5597,1423.0,27900,34000,21.9,
week1,2026-07-16,09:04:13,UNDER急増,6228,515.0,34700,54900,58.2,
week1,2026-07-16,09:04:57,UNDER急増,4575,777.0,38000,68800,81.1,
week1,2026-07-16,09:05:13,UNDER急増,4395,775.0,37500,53300,42.1,
week1,2026-07-16,09:06:00,UNDER急増,3747,432.0,12500,39100,212.8,
week1,2026-07-16,09:06:06,UNDER急増,9327,211.0,10600,13200,24.5,
week1,2026-07-16,09:06:07,小口売り連続/WATCH,3686,73.0,,,,5
week1,2026-07-16,09:06:58,UNDER急増,5597,1405.0,28400,34800,22.5,
week1,2026-07-16,09:07:01,小口売り連続/WATCH,4570,1017.0,,,,5
week1,2026-07-16,09:07:29,UNDER急増,5591,832.0,10700,21500,100.9,
week1,2026-07-16,09:07:33,UNDER急増,6495,126.0,39400,118400,200.5,
week1,2026-07-16,09:08:30,UNDER急増,5591,825.0,10900,22600,107.3,
week1,2026-07-16,09:08:52,UNDER急増,6495,126.0,39400,118400,200.5,
week1,2026-07-16,09:09:29,小口売り連続/WATCH,4840,665.0,,,,5
week1,2026-07-16,09:09:56,UNDER急増,9115,840.0,9600,20900,117.7,
