date,code4,name,title,pre_6mo_pct,entry_open,fwd_3mo_pct,fwd_6mo_pct
2018-01-18,3698,Ｍ－ＣＲＩ・ＭＷ,有償新株予約権（ストックオプション）の発行に関するお知らせ,-15.122559202326546,2040.0,11.470588235294121,-0.4901960784313708
2018-02-05,4736,Ｊ－日本ラッド,募集新株予約権（有償ストックオプション）の発行に関するお知らせ,24.597207303974212,980.0,28.775510204081623,3.1632653061224536
2018-02-13,9612,ラックランド,有償ストックオプション（業績連動型新株予約権）の発行に関するお知らせ,1.06692531522794,2113.0,23.568386180785605,26.123994320870803
2018-02-14,3856,Ｍ－Ａｂａｌａｎｃｅ,募集新株予約権（有償ストックオプション）の発行に関するお知らせ,-22.638143447631187,339.3333435058594,13.948913036146692,-21.21807402011372
2018-02-15,3137,Ｍ－ファンデリー,募集新株予約権（有償ストックオプション）の発行に関するお知らせ,3.489137590520075,886.0,1.8058690744920947,-27.14446952595937
2018-03-07,2138,Ｊ－クルーズ,有償ストックオプション（新株予約権）の発行に関するお知らせ,-3.099083369707556,2249.0,-13.783903957314358,11.338372610048907
2018-05-21,9435,光通信,業績条件付有償ストックオプション（新株予約権）の発行に関するお知らせ,24.791800128122986,19700.0,-0.20304568527919065,-5.63451776649746
2018-06-19,2130,メンバーズ,業績条件付新株予約権（有償ストックオプション）の発行に関するお知らせ,69.17808219178083,1235.0,1.7813765182186136,-26.315789473684216
2018-08-10,6676,メルコ,第５回新株予約権（有償ストックオプション）及び第６回新株予約権（ストックオプション）の発行に関するお知らせ,22.222221486798553,1124.3717041015625,-5.875297325882844,-5.15587427136227
2019-03-14,1783,Ｊ－アジアゲートＨＤ,有償ストックオプション（新株予約権）の発行に関するお知らせ,-11.111111111111116,64.0,0.0,-3.125
2019-05-15,3445,ＲＳＴＥＣＨ,業績目標コミットメント型ストックオプション（有償ストック・オプション）の発行に関するお知らせ,-42.54826254826255,1414.0,7.85007072135786,52.22772277227723
2019-05-17,9435,光通信,業績条件付有償ストックオプション（新株予約権）の発行に関するお知らせ,15.42948038176033,21530.0,14.166279609846733,9.8467254993033
2019-06-14,4387,Ｍ－ＺＵＵ,自己株式取得に係る事項の決定並びに業績コミットメント型有償ストックオプション及び税制適格ストックオプションの発行に関するお知らせ,-35.526315789473685,1975.0,9.240506329113929,13.544303797468359
2019-06-18,2130,メンバーズ,業績条件付新株予約権（有償ストックオプション）の発行に関するお知らせ,112.63736263736264,1959.0,-11.689637570188872,17.355793772332827
2019-09-13,7035,Ｍ－ａｎｆａｃ,募集新株予約権（有償ストックオプション）の発行に関するお知らせ,1.7294900221729526,2323.0,-1.119242359018513,-57.4687903572966
2019-10-04,3758,Ｊ－アエリア,新株予約権（有償ストックオプション）の発行に関するお知らせ,87.27272727272728,1253.0,-24.98004788507582,-60.89385474860336
2019-10-30,6676,メルコ,第７回新株予約権（有償ストックオプション）及び第８回新株予約権（ストックオプション）の発行に関するお知らせ,-19.12181390312442,778.97119140625,-4.361370008643961,-11.803397785916792
2020-03-11,7064,Ｍ－ハウテレビジョン,業績目標コミットメント型ストックオプション（有償ストックオプション）の発行に関するお知らせ,-28.14545454545454,788.0,46.57360406091371,14.276649746192893
2020-06-01,9435,光通信,業績条件付有償ストックオプション（新株予約権）の発行に関するお知らせ,-6.143740340030912,24210.0,5.824039653035928,3.5522511358942577
2020-06-10,7064,Ｍ－ハウテレビジョン,業績目標コミットメント型ストック・オプション（有償ストックオプション）の発行に関するお知らせ,-32.05882352941176,1061.0,-15.127238454288406,1.3195098963242113
2020-06-16,2130,メンバーズ,業績条件付新株予約権（有償ストックオプション）の発行に関するお知らせ,-31.18747281426707,1609.0,8.701056556867615,26.786824114356733
